SampleID,Tissue,Factor,Condition,Treatment,Replicate,ControlID
CLLM1-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,1,Input-CLLM
CLLM2-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,2,Input-CLLM
CLLM3-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,3,Input-CLLM
Sub4-1-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,4,Input-CLLM
Sub4-2-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,5,Input-CLLM
Sub4-3-EZH2-Ab,B-lymphocytes,EZH2,Mutated,Full-Media,6,Input-CLLM
CLLUM1-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,1,Input-CLLUM
CLLUM2-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,2,Input-CLLUM
CLLUM3-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,3,Input-CLLUM
Sub1-1-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,4,Input-CLLUM
Sub1-2-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,5,Input-CLLUM
Sub1-3-EZH2-Ab,B-lymphocytes,EZH2,Unmutated,Full-Media,6,Input-CLLUM
